Date : 2025-08-31 15:19:19
Directory : d:\项目\综合课程设计\SOMS-5
Total : 560 files,  77779 codes, 7259 comments, 10461 blanks, all 95499 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| admin-backend\target\classes\mapper                                                                                                      |          2 |         47 |          2 |          5 |         54 |
| admin-frontend                                                                                                                           |         79 |     26,342 |      1,009 |      2,886 |     30,237 |
| admin-frontend (Files)                                                                                                                   |          4 |      2,737 |          0 |          2 |      2,739 |
| admin-frontend\src                                                                                                                       |         75 |     23,605 |      1,009 |      2,884 |     27,498 |
| admin-frontend\src (Files)                                                                                                               |          2 |         31 |          2 |          6 |         39 |
| admin-frontend\src\api                                                                                                                   |         11 |      1,310 |        429 |        207 |      1,946 |
| admin-frontend\src\components                                                                                                            |          9 |      4,077 |         45 |        548 |      4,670 |
| admin-frontend\src\components (Files)                                                                                                    |          5 |      2,363 |         25 |        329 |      2,717 |
| admin-frontend\src\components\GlobalSearch                                                                                               |          1 |        431 |          7 |         69 |        507 |
| admin-frontend\src\components\workflow                                                                                                   |          3 |      1,283 |         13 |        150 |      1,446 |
| admin-frontend\src\config                                                                                                                |          1 |        349 |         13 |         12 |        374 |
| admin-frontend\src\i18n                                                                                                                  |          3 |      1,342 |         90 |         83 |      1,515 |
| admin-frontend\src\i18n (Files)                                                                                                          |          1 |         45 |         15 |         12 |         72 |
| admin-frontend\src\i18n\locales                                                                                                          |          2 |      1,297 |         75 |         71 |      1,443 |
| admin-frontend\src\layout                                                                                                                |          1 |        614 |         10 |        101 |        725 |
| admin-frontend\src\router                                                                                                                |          1 |        242 |         16 |          9 |        267 |
| admin-frontend\src\stores                                                                                                                |          3 |        458 |        148 |        100 |        706 |
| admin-frontend\src\style                                                                                                                 |          1 |         89 |         10 |         16 |        115 |
| admin-frontend\src\utils                                                                                                                 |          3 |        329 |        106 |         64 |        499 |
| admin-frontend\src\views                                                                                                                 |         40 |     14,764 |        140 |      1,738 |     16,642 |
| admin-frontend\src\views\announcements                                                                                                   |          2 |        654 |          7 |         68 |        729 |
| admin-frontend\src\views\attendance                                                                                                      |          4 |      1,468 |         20 |        144 |      1,632 |
| admin-frontend\src\views\auth                                                                                                            |          1 |        523 |          0 |         79 |        602 |
| admin-frontend\src\views\dashboard                                                                                                       |          1 |        792 |          3 |         71 |        866 |
| admin-frontend\src\views\departments                                                                                                     |          1 |        362 |          4 |         35 |        401 |
| admin-frontend\src\views\employees                                                                                                       |          1 |        421 |          6 |         38 |        465 |
| admin-frontend\src\views\leave                                                                                                           |          4 |      1,833 |         21 |        203 |      2,057 |
| admin-frontend\src\views\notifications                                                                                                   |          4 |      1,585 |         11 |        195 |      1,791 |
| admin-frontend\src\views\organization                                                                                                    |          1 |        473 |          7 |         64 |        544 |
| admin-frontend\src\views\profile                                                                                                         |          1 |        606 |          8 |         74 |        688 |
| admin-frontend\src\views\reports                                                                                                         |          4 |        769 |          6 |         86 |        861 |
| admin-frontend\src\views\roles                                                                                                           |          1 |        389 |          5 |         49 |        443 |
| admin-frontend\src\views\system                                                                                                          |          3 |        235 |          0 |         32 |        267 |
| admin-frontend\src\views\tasks                                                                                                           |          7 |      1,848 |         13 |        239 |      2,100 |
| admin-frontend\src\views\tasks (Files)                                                                                                   |          4 |      1,277 |         13 |        162 |      1,452 |
| admin-frontend\src\views\tasks\components                                                                                                |          3 |        571 |          0 |         77 |        648 |
| admin-frontend\src\views\workflow                                                                                                        |          5 |      2,806 |         29 |        361 |      3,196 |
| admin-frontend\src\views\workflow (Files)                                                                                                |          4 |      2,310 |         27 |        302 |      2,639 |
| admin-frontend\src\views\workflow\components                                                                                             |          1 |        496 |          2 |         59 |        557 |
| database                                                                                                                                 |          2 |        847 |        120 |         87 |      1,054 |
| docs                                                                                                                                     |          1 |        142 |          0 |         39 |        181 |
| employee-backend                                                                                                                         |        168 |     11,051 |      2,031 |      1,869 |     14,951 |
| employee-backend (Files)                                                                                                                 |          2 |        200 |         14 |         39 |        253 |
| employee-backend\src                                                                                                                     |         78 |      7,049 |      1,962 |      1,810 |     10,821 |
| employee-backend\src\main                                                                                                                |         77 |      7,025 |      1,951 |      1,800 |     10,776 |
| employee-backend\src\main\java                                                                                                           |         74 |      6,906 |      1,945 |      1,786 |     10,637 |
| employee-backend\src\main\java\com                                                                                                       |         74 |      6,906 |      1,945 |      1,786 |     10,637 |
| employee-backend\src\main\java\com\office                                                                                                |         74 |      6,906 |      1,945 |      1,786 |     10,637 |
| employee-backend\src\main\java\com\office\employee                                                                                       |         74 |      6,906 |      1,945 |      1,786 |     10,637 |
| employee-backend\src\main\java\com\office\employee (Files)                                                                               |          1 |         14 |          7 |          4 |         25 |
| employee-backend\src\main\java\com\office\employee\common                                                                                |          3 |        116 |         64 |         40 |        220 |
| employee-backend\src\main\java\com\office\employee\config                                                                                |          6 |        197 |         52 |         46 |        295 |
| employee-backend\src\main\java\com\office\employee\controller                                                                            |         10 |      1,573 |        511 |        318 |      2,402 |
| employee-backend\src\main\java\com\office\employee\dto                                                                                   |          7 |        242 |         21 |         64 |        327 |
| employee-backend\src\main\java\com\office\employee\entity                                                                                |         14 |      1,041 |         68 |        389 |      1,498 |
| employee-backend\src\main\java\com\office\employee\mapper                                                                                |         14 |        717 |        358 |        145 |      1,220 |
| employee-backend\src\main\java\com\office\employee\service                                                                               |         16 |      2,764 |        811 |        722 |      4,297 |
| employee-backend\src\main\java\com\office\employee\service (Files)                                                                       |         10 |        709 |        575 |        297 |      1,581 |
| employee-backend\src\main\java\com\office\employee\service\impl                                                                          |          6 |      2,055 |        236 |        425 |      2,716 |
| employee-backend\src\main\java\com\office\employee\test                                                                                  |          1 |         21 |          6 |          9 |         36 |
| employee-backend\src\main\java\com\office\employee\util                                                                                  |          1 |         58 |         24 |         13 |         95 |
| employee-backend\src\main\java\com\office\employee\websocket                                                                             |          1 |        163 |         23 |         36 |        222 |
| employee-backend\src\main\resources                                                                                                      |          3 |        119 |          6 |         14 |        139 |
| employee-backend\src\main\resources (Files)                                                                                              |          1 |         48 |          4 |          9 |         61 |
| employee-backend\src\main\resources\mapper                                                                                               |          2 |         71 |          2 |          5 |         78 |
| employee-backend\src\test                                                                                                                |          1 |         24 |         11 |         10 |         45 |
| employee-backend\src\test\java                                                                                                           |          1 |         24 |         11 |         10 |         45 |
| employee-backend\src\test\java\com                                                                                                       |          1 |         24 |         11 |         10 |         45 |
| employee-backend\src\test\java\com\office                                                                                                |          1 |         24 |         11 |         10 |         45 |
| employee-backend\src\test\java\com\office\employee                                                                                       |          1 |         24 |         11 |         10 |         45 |
| employee-backend\target                                                                                                                  |         88 |      3,802 |         55 |         20 |      3,877 |
| employee-backend\target\classes                                                                                                          |         87 |      3,785 |         55 |         20 |      3,860 |
| employee-backend\target\classes (Files)                                                                                                  |          1 |         48 |          4 |          9 |         61 |
| employee-backend\target\classes\com                                                                                                      |         84 |      3,666 |         49 |          6 |      3,721 |
| employee-backend\target\classes\com\office                                                                                               |         84 |      3,666 |         49 |          6 |      3,721 |
| employee-backend\target\classes\com\office\employee                                                                                      |         84 |      3,666 |         49 |          6 |      3,721 |
| employee-backend\target\classes\com\office\employee (Files)                                                                              |          1 |          7 |          0 |          0 |          7 |
| employee-backend\target\classes\com\office\employee\common                                                                               |          3 |         67 |          0 |          0 |         67 |
| employee-backend\target\classes\com\office\employee\config                                                                               |          6 |        106 |         32 |          0 |        138 |
| employee-backend\target\classes\com\office\employee\controller                                                                           |         13 |        499 |          9 |          0 |        508 |
| employee-backend\target\classes\com\office\employee\dto                                                                                  |         10 |        423 |          0 |          0 |        423 |
| employee-backend\target\classes\com\office\employee\entity                                                                               |         14 |        928 |          0 |          0 |        928 |
| employee-backend\target\classes\com\office\employee\mapper                                                                               |         14 |        151 |          0 |          0 |        151 |
| employee-backend\target\classes\com\office\employee\service                                                                              |         20 |      1,366 |          8 |          6 |      1,380 |
| employee-backend\target\classes\com\office\employee\service (Files)                                                                      |         13 |        413 |          8 |          1 |        422 |
| employee-backend\target\classes\com\office\employee\service\impl                                                                         |          7 |        953 |          0 |          5 |        958 |
| employee-backend\target\classes\com\office\employee\test                                                                                 |          1 |         18 |          0 |          0 |         18 |
| employee-backend\target\classes\com\office\employee\util                                                                                 |          1 |         32 |          0 |          0 |         32 |
| employee-backend\target\classes\com\office\employee\websocket                                                                            |          1 |         69 |          0 |          0 |         69 |
| employee-backend\target\classes\mapper                                                                                                   |          2 |         71 |          2 |          5 |         78 |
| employee-backend\target\test-classes                                                                                                     |          1 |         17 |          0 |          0 |         17 |
| employee-backend\target\test-classes\com                                                                                                 |          1 |         17 |          0 |          0 |         17 |
| employee-backend\target\test-classes\com\office                                                                                          |          1 |         17 |          0 |          0 |         17 |
| employee-backend\target\test-classes\com\office\employee                                                                                 |          1 |         17 |          0 |          0 |         17 |
| employee-frontend                                                                                                                        |         64 |     22,895 |        873 |      2,841 |     26,609 |
| employee-frontend (Files)                                                                                                                |          5 |      2,423 |          2 |         35 |      2,460 |
| employee-frontend\.idea                                                                                                                  |          3 |         24 |          0 |          0 |         24 |
| employee-frontend\src                                                                                                                    |         56 |     20,448 |        871 |      2,806 |     24,125 |
| employee-frontend\src (Files)                                                                                                            |          2 |         31 |          2 |          6 |         39 |
| employee-frontend\src\api                                                                                                                |          8 |        723 |        265 |        141 |      1,129 |
| employee-frontend\src\components                                                                                                         |          7 |      3,356 |         34 |        473 |      3,863 |
| employee-frontend\src\components (Files)                                                                                                 |          5 |      2,359 |         23 |        323 |      2,705 |
| employee-frontend\src\components\GlobalSearch                                                                                            |          1 |        431 |          7 |         69 |        507 |
| employee-frontend\src\components\collaborative                                                                                           |          1 |        566 |          4 |         81 |        651 |
| employee-frontend\src\config                                                                                                             |          1 |        216 |         10 |          9 |        235 |
| employee-frontend\src\i18n                                                                                                               |          3 |      1,294 |         69 |         67 |      1,430 |
| employee-frontend\src\i18n (Files)                                                                                                       |          1 |         45 |         15 |         12 |         72 |
| employee-frontend\src\i18n\locales                                                                                                       |          2 |      1,249 |         54 |         55 |      1,358 |
| employee-frontend\src\layout                                                                                                             |          1 |        576 |          9 |         92 |        677 |
| employee-frontend\src\router                                                                                                             |          1 |        178 |          8 |          9 |        195 |
| employee-frontend\src\stores                                                                                                             |          3 |        427 |        136 |         88 |        651 |
| employee-frontend\src\style                                                                                                              |          1 |        183 |         10 |         36 |        229 |
| employee-frontend\src\utils                                                                                                              |          4 |        712 |        234 |        144 |      1,090 |
| employee-frontend\src\views                                                                                                              |         25 |     12,752 |         94 |      1,741 |     14,587 |
| employee-frontend\src\views\attendance                                                                                                   |          2 |      1,383 |         10 |        191 |      1,584 |
| employee-frontend\src\views\auth                                                                                                         |          1 |        330 |          2 |         52 |        384 |
| employee-frontend\src\views\collaborative                                                                                                |          6 |      3,844 |         26 |        596 |      4,466 |
| employee-frontend\src\views\dashboard                                                                                                    |          1 |      1,003 |         10 |        116 |      1,129 |
| employee-frontend\src\views\leave                                                                                                        |          2 |      1,048 |          9 |        135 |      1,192 |
| employee-frontend\src\views\notifications                                                                                                |          3 |      1,138 |          5 |        158 |      1,301 |
| employee-frontend\src\views\permissions                                                                                                  |          1 |        558 |          6 |         58 |        622 |
| employee-frontend\src\views\profile                                                                                                      |          1 |        833 |          7 |        101 |        941 |
| employee-frontend\src\views\schedule                                                                                                     |          1 |        613 |          6 |         88 |        707 |
| employee-frontend\src\views\tasks                                                                                                        |          7 |      2,002 |         13 |        246 |      2,261 |
| employee-frontend\src\views\tasks (Files)                                                                                                |          5 |      1,088 |          7 |        134 |      1,229 |
| employee-frontend\src\views\tasks\components                                                                                             |          2 |        914 |          6 |        112 |      1,032 |
| shared                                                                                                                                   |          3 |        151 |          8 |         24 |        183 |
| shared (Files)                                                                                                                           |          1 |         20 |          0 |          5 |         25 |
| shared\docker                                                                                                                            |          1 |         73 |          5 |          6 |         84 |
| shared\nginx                                                                                                                             |          1 |         58 |          3 |         13 |         74 |
| sql                                                                                                                                      |          1 |         89 |         12 |          7 |        108 |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                 | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\context.md                                                                                            | Markdown           |          3 |          0 |          2 |          5 |
| d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\metadata.json                                                                                         | JSON               |          6 |          0 |          0 |          6 |
| d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\patterns.md                                                                                           | Markdown           |          2 |          0 |          2 |          4 |
| d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\preferences.md                                                                                        | Markdown           |          1 |          0 |          2 |          3 |
| d:\项目\综合课程设计\SOMS-5\.cunzhi-memory\rules.md                                                                                              | Markdown           |          3 |          0 |          2 |          5 |
| d:\项目\综合课程设计\SOMS-5\.idea\bangong.iml                                                                                                    | XML                |          9 |          0 |          0 |          9 |
| d:\项目\综合课程设计\SOMS-5\.idea\compiler.xml                                                                                                   | XML                |         23 |          0 |          0 |         23 |
| d:\项目\综合课程设计\SOMS-5\.idea\encodings.xml                                                                                                  | XML                |          7 |          0 |          0 |          7 |
| d:\项目\综合课程设计\SOMS-5\.idea\jarRepositories.xml                                                                                            | XML                |         20 |          0 |          0 |         20 |
| d:\项目\综合课程设计\SOMS-5\.idea\misc.xml                                                                                                       | XML                |         15 |          0 |          0 |         15 |
| d:\项目\综合课程设计\SOMS-5\.idea\modules.xml                                                                                                    | XML                |          8 |          0 |          0 |          8 |
| d:\项目\综合课程设计\SOMS-5\.idea\vcs.xml                                                                                                        | XML                |          6 |          0 |          0 |          6 |
| d:\项目\综合课程设计\SOMS-5\README.md                                                                                                            | Markdown           |         86 |          0 |         36 |        122 |
| d:\项目\综合课程设计\SOMS-5\SERVICE_STARTUP.md                                                                                                   | Markdown           |         60 |          0 |         22 |         82 |
| d:\项目\综合课程设计\SOMS-5\SOMS-5.code-workspace                                                                                                | JSON with Comments |         12 |          0 |          0 |         12 |
| d:\项目\综合课程设计\SOMS-5\WEBSOCKET_FIX.md                                                                                                     | Markdown           |         49 |          0 |         27 |         76 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\pom.xml                                                                                                | XML                |        154 |         19 |         24 |        197 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\AdminBackendApplication.java                                            | Java               |         12 |          6 |          4 |         22 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\common\BusinessException.java                                           | Java               |         22 |          6 |          7 |         35 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\common\GlobalExceptionHandler.java                                      | Java               |         32 |         15 |          8 |         55 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\common\Result.java                                                      | Java               |         62 |         43 |         25 |        130 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\CorsConfig.java                                                  | Java               |         21 |         11 |         10 |         42 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\JwtAuthenticationFilter.java                                     | Java               |         61 |         12 |         15 |         88 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\MybatisPlusConfig.java                                           | Java               |         27 |         15 |          6 |         48 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\SecurityConfig.java                                              | Java               |         43 |         22 |         15 |         80 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\SwaggerConfig.java                                               | Java               |         24 |          3 |          3 |         30 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\config\WebSocketConfig.java                                             | Java               |         27 |          6 |          6 |         39 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\AnnouncementController.java                                  | Java               |         19 |          9 |          6 |         34 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\AuthController.java                                          | Java               |         98 |         37 |         25 |        160 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\CollaborativeDocumentController.java                         | Java               |        187 |         42 |         23 |        252 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\DashboardController.java                                     | Java               |        169 |         52 |         50 |        271 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\DepartmentController.java                                    | Java               |        102 |         34 |         13 |        149 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\DocumentController.java                                      | Java               |        173 |         43 |         36 |        252 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\EmployeeManagementController.java                            | Java               |         64 |         33 |         14 |        111 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\LeaveApplicationController.java                              | Java               |        165 |         15 |         35 |        215 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\MessageController.java                                       | Java               |         54 |         16 |         17 |         87 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\NotificationController.java                                  | Java               |        250 |         96 |         55 |        401 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\NotificationWebSocketController.java                         | Java               |        101 |         36 |         19 |        156 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\OrganizationController.java                                  | Java               |         75 |         24 |         10 |        109 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\RoleController.java                                          | Java               |        200 |         43 |         40 |        283 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\TaskController.java                                          | Java               |        195 |         63 |         38 |        296 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowEngineController.java                                | Java               |        172 |         39 |         24 |        235 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowInstanceController.java                              | Java               |        222 |         15 |         40 |        277 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowTemplateController.java                              | Java               |        137 |         36 |         21 |        194 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\DocumentProcessRequest.java                                         | Java               |         13 |          0 |          2 |         15 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginRequest.java                                                   | Java               |         35 |          8 |         11 |         54 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginResponse.java                                                  | Java               |        126 |         13 |         37 |        176 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\StartWorkflowRequest.java                                           | Java               |         19 |         27 |         11 |         57 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCommentRequest.java                                             | Java               |         12 |          0 |          4 |         16 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCreateRequest.java                                              | Java               |         18 |          0 |          4 |         22 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskQueryRequest.java                                               | Java               |         17 |          0 |          4 |         21 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskUpdateRequest.java                                              | Java               |         22 |          0 |          4 |         26 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTaskRequest.java                                            | Java               |         15 |         21 |          9 |         45 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTemplateRequest.java                                        | Java               |         60 |        105 |         37 |        202 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Announcement.java                                                | Java               |        103 |          9 |         37 |        149 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\AttendanceRecord.java                                            | Java               |        111 |          9 |         40 |        160 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeDocument.java                                       | Java               |         34 |          0 |         14 |         48 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeOperation.java                                      | Java               |         26 |          0 |         10 |         36 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeSession.java                                        | Java               |         32 |          0 |         13 |         45 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Department.java                                                  | Java               |        119 |          9 |         43 |        171 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Document.java                                                    | Java               |         46 |          0 |         20 |         66 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Employee.java                                                    | Java               |        102 |          9 |         37 |        148 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\LeaveApplication.java                                            | Java               |        170 |         11 |         61 |        242 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Notification.java                                                | Java               |         80 |          8 |         29 |        117 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Role.java                                                        | Java               |         69 |          8 |         25 |        102 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Task.java                                                        | Java               |         58 |          0 |         26 |         84 |
| d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\TaskComment.java                                                 | Java               |         38 |          0 |         16 |         54 |
